clip_id,start_time,end_time,change,decision
0,0.0000,0.5000,,WAIT
1,0.5000,1.0000,0.000592,SILENCE
2,1.0000,1.5000,0.003655,SILENCE
3,1.5000,2.0000,0.005429,SILENCE
4,2.0000,2.5000,0.004184,SILENCE
5,2.5000,3.0000,0.003213,SILENCE
6,3.0000,3.5000,0.002328,SILENCE
7,3.5000,4.0000,0.000665,SILENCE
8,4.0000,4.5000,0.001229,SILENCE
9,4.5000,5.0000,0.001960,SILENCE
10,5.0000,5.5000,0.005159,SILENCE
11,5.5000,6.0000,0.003664,SILENCE
12,6.0000,6.5000,0.005523,SILENCE
13,6.5000,7.0000,0.003068,SILENCE
14,7.0000,7.5000,0.002934,SILENCE
15,7.5000,8.0000,0.002853,SILENCE
16,8.0000,8.5000,0.002123,SILENCE
17,8.5000,8.7000,0.001651,SILENCE
