clip_id,start_time,end_time,change,deviation,decision,prototype_ready
0,0.0000,0.5000,,,WAIT,False
1,0.5000,1.0000,0.000592,,WAIT,False
2,1.0000,1.5000,0.003655,,WAIT,False
3,1.5000,2.0000,0.005429,0.001957,WAIT,True
4,2.0000,2.5000,0.004184,0.001317,SILENCE,True
5,2.5000,3.0000,0.003213,0.002186,SILENCE,True
6,3.0000,3.5000,0.002328,0.001523,SILENCE,True
7,3.5000,4.0000,0.000665,0.001101,SILENCE,True
8,4.0000,4.5000,0.001229,0.001711,SILENCE,True
9,4.5000,5.0000,0.001960,0.001490,SILENCE,True
10,5.0000,5.5000,0.005159,0.005169,SILENCE,True
11,5.5000,6.0000,0.003664,0.005099,SILENCE,True
12,6.0000,6.5000,0.005523,0.003260,SILENCE,True
13,6.5000,7.0000,0.003068,0.003129,SILENCE,True
14,7.0000,7.5000,0.002934,0.002987,SILENCE,True
15,7.5000,8.0000,0.002853,0.004487,SILENCE,True
16,8.0000,8.5000,0.002123,0.002648,SILENCE,True
17,8.5000,8.7000,0.001651,0.001149,SILENCE,True
