clip_id,start_time,end_time,change,decision
0,0.0000,1.0000,,WAIT
1,1.0000,2.0000,0.006601,SILENCE
2,2.0000,3.0000,0.036118,SUSPICIOUS
3,3.0000,4.0000,0.009877,SILENCE
4,4.0000,5.0000,0.016931,WAIT
5,5.0000,6.0000,0.019536,WAIT
6,6.0000,7.0000,0.011542,SILENCE
7,7.0000,8.0000,0.007929,SILENCE
8,8.0000,9.0000,0.005923,SILENCE
9,9.0000,10.0000,0.003444,SILENCE
10,10.0000,11.0000,0.006052,SILENCE
11,11.0000,12.0000,0.010052,SILENCE
12,12.0000,12.5667,0.003070,SILENCE
