clip_id,start_time,end_time,change,deviation,decision,prototype_ready
0,0.0000,0.5000,,,WAIT,False
1,0.5000,1.0000,0.005525,,WAIT,False
2,1.0000,1.5000,0.005839,,WAIT,False
3,1.5000,2.0000,0.002686,0.002380,WAIT,True
4,2.0000,2.5000,0.001272,0.004750,SILENCE,True
5,2.5000,3.0000,0.001228,0.006946,SILENCE,True
6,3.0000,3.5000,0.003964,0.011946,SILENCE,True
7,3.5000,4.0000,0.004144,0.016178,SILENCE,True
8,4.0000,4.5000,0.009256,0.021999,SILENCE,True
9,4.5000,5.0000,0.009918,0.029243,SILENCE,True
10,5.0000,5.5000,0.010631,0.029686,WAIT,True
11,5.5000,6.0000,0.011325,0.039174,WAIT,True
12,6.0000,6.5000,0.028402,0.080238,SUSPICIOUS,True
13,6.5000,7.0000,0.013643,0.067452,SUSPICIOUS,True
14,7.0000,7.5000,0.023090,0.061353,SUSPICIOUS,True
15,7.5000,8.0000,0.009130,0.069383,WAIT,True
16,8.0000,8.5000,0.014475,0.064629,SUSPICIOUS,True
17,8.5000,8.9000,0.004572,0.068763,WAIT,True
