clip_id,start_time,end_time,change,decision
0,0.0000,0.5000,,WAIT
1,0.5000,1.0000,0.000147,SILENCE
2,1.0000,1.5000,0.000031,SILENCE
3,1.5000,2.0000,0.000112,SILENCE
4,2.0000,2.5000,0.000542,SILENCE
5,2.5000,3.0000,0.000399,SILENCE
6,3.0000,3.5000,0.000123,SILENCE
7,3.5000,4.0000,0.000054,SILENCE
8,4.0000,4.5000,0.000233,SILENCE
9,4.5000,5.0000,0.000112,SILENCE
10,5.0000,5.5000,0.000171,SILENCE
11,5.5000,6.0000,0.000854,SILENCE
12,6.0000,6.5000,0.003138,SILENCE
13,6.5000,7.0000,0.005194,SILENCE
14,7.0000,7.5000,0.002095,SILENCE
15,7.5000,8.0000,0.001011,SILENCE
16,8.0000,8.5000,0.000775,SILENCE
17,8.5000,9.0000,0.000656,SILENCE
18,9.0000,9.5000,0.000439,SILENCE
19,9.5000,10.0000,0.000410,SILENCE
20,10.0000,10.5000,0.000403,SILENCE
21,10.5000,11.0000,0.000231,SILENCE
22,11.0000,11.5000,0.000231,SILENCE
23,11.5000,12.0000,0.000382,SILENCE
24,12.0000,12.5000,0.000165,SILENCE
25,12.5000,13.0000,0.000069,SILENCE
26,13.0000,13.5000,0.000067,SILENCE
27,13.5000,14.0000,0.000063,SILENCE
28,14.0000,14.5000,0.000229,SILENCE
29,14.5000,15.0000,0.000067,SILENCE
30,15.0000,15.5000,0.000040,SILENCE
31,15.5000,16.0000,0.000049,SILENCE
32,16.0000,16.5000,0.000084,SILENCE
33,16.5000,17.0000,0.000084,SILENCE
34,17.0000,17.2333,0.000086,SILENCE
